time,open,high,low,close
2021-11-26,1792.58,1814.95,1781.58,1791.61
2021-11-28,1792.8,1795.25,1777.11,1795.25
2021-11-29,1794.7,1799.3,1781.5,1786.63
2021-11-30,1786.59,1808.64,1769.8,1773.38
2021-12-01,1773.47,1793.19,1772.64,1781.83
2021-12-02,1781.21,1781.77,1761.81,1768.86
2021-12-03,1769.06,1786.1,1766.07,1782.38
2021-12-06,1780.45,1784.63,1775.71,1780.71
2021-12-07,1780.89,1787.49,1772.26,1784.61
2021-12-08,1784.48,1792.93,1779.4,1783.59
2021-12-09,1783.14,1787.25,1773.74,1775.99
2021-12-10,1776.2,1789.02,1769.76,1782.89
2021-12-13,1787.03,1791.01,1781.91,1785.66
2021-12-14,1785.57,1789.51,1765.9,1772.27
2021-12-15,1772.28,1781.34,1755.94,1779.54
2021-12-16,1779.11,1799.51,1775.48,1798.58
2021-12-17,1799.07,1813.91,1795.88,1797.47
2021-12-19,1797.8,1801.36,1797.8,1799.92
2021-12-20,1800.22,1804.01,1788.23,1791.11
2021-12-21,1791.12,1800.38,1784.5,1790.47
2021-12-22,1790.33,1804.73,1785.5,1803.34
2021-12-23,1803.61,1810.66,1799.12,1808.38
2021-12-24,1808.4,1812.03,1804.3,1807.99
2021-12-26,1809.9,1809.9,1805.53,1806.4
2021-12-27,1806.98,1813.39,1803.28,1812.03
2021-12-28,1812.37,1820.07,1804.6,1806.27
2021-12-29,1805.64,1807.63,1788.8,1804.25
2021-12-30,1804.32,1817.09,1795.8,1815.27
2021-12-31,1815.39,1830.05,1814.1,1828.29
2022-01-02,1829.06,1831.34,1827.6,1828.13
2022-01-03,1828.11,1831.5,1798.16,1803.85
2022-01-04,1803.66,1816.48,1798.71,1813.61
2022-01-05,1813.84,1829.6,1808.17,1810.04
2022-01-06,1810.05,1811.21,1786.35,1791.37
2022-01-07,1791.11,1798.38,1786.55,1795.89
2022-01-09,1796.81,1796.81,1793.8,1795.1
2022-01-10,1794.85,1802.47,1789.91,1801.24
2022-01-11,1801.36,1823.05,1801.16,1820.6
2022-01-12,1820.35,1827.9,1814.11,1825.12
2022-01-13,1825.24,1827.85,1812.36,1820.83
2022-01-14,1820.61,1828.84,1813.93,1816.7
2022-01-17,1815.39,1823.02,1814.7,1819.09
2022-01-18,1818.93,1822.63,1805.7,1814.07
2022-01-19,1814.22,1843.16,1810.12,1838.5
2022-01-20,1838.61,1847.58,1835.94,1838.84
2022-01-21,1838.61,1842.85,1828.5,1833.88
2022-01-23,1834,1837.06,1831.54,1834.56
2022-01-24,1834.12,1843.9,1827.97,1843.3
2022-01-25,1843.43,1853.65,1834.96,1849.38
2022-01-26,1849.28,1849.41,1815.11,1821.91
2022-01-27,1821.73,1821.73,1791.3,1797.04
2022-01-28,1796.1,1799.34,1780.01,1791.3
2022-01-30,1790.7,1791.52,1788.1,1789.66
2022-01-31,1788.89,1799.61,1785.4,1797.81
2022-02-01,1797.5,1808.72,1795.1,1800.49
2022-02-02,1800.49,1810.72,1794.52,1807.62
2022-02-03,1807.64,1808.9,1788.2,1805.53
2022-02-04,1805.5,1809.73,1802.42,1807.47
2022-02-06,1806.7,1811.4,1806.7,1810.12
2022-02-07,1810.02,1823.34,1808.58,1821.86
2022-02-08,1821.81,1828.68,1815.32,1825.76
2022-02-09,1825.69,1835.59,1824.3,1832.52
2022-02-10,1832.41,1841.91,1825.55,1826.88
2022-02-11,1826.57,1864.99,1821.6,1858.28
2022-02-13,1858.7,1861.33,1856.41,1859.71
2022-02-14,1859.26,1873.84,1850.92,1870.92
2022-02-15,1871.04,1879.36,1845.06,1852.8
2022-02-16,1853.04,1872.49,1849.8,1869.59
2022-02-17,1869.8,1900.79,1867.1,1899.83
2022-02-18,1899.87,1902.5,1886.65,1897.24
2022-02-20,1896.81,1906.38,1896.81,1904.62
2022-02-21,1904.77,1913.78,1887.46,1909.24
